,X,swadesh.english,swadesh.language,swadesh.handshape,swadesh.twohands,swadesh.handpart,swadesh.poa,swadesh.bodypart,swadesh.pmv,swadesh.mmv,swadesh.mmvrepeated,swadesh.dmvhandshape,swadesh.dmvorientation,swadesh.compound,swadesh.shape,swadesh.domhand,swadesh.ndhandshape,swadesh.chandshape,swadesh.twohandsC,swadesh.poac,swadesh.bodypartc,swadesh.pmvc,swadesh.mmvc,swadesh.mmvcrepeated,swadesh.dmvchandshape,swadesh.dmvcorientation,HScollapsed,poabodypartmerge
396,396,bad,Spanish,B,false,ulnar_side,Vertical,NA,Z_front,straight,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n4,Vertical
397,397,because,Spanish,5,false,radial_side,NA,Head,Z_front,straight,false,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Head
398,398,bird,Spanish,L,false,back_of_palm,NA,Head,UNDEF,UNDEF,true,true,false,true,UNDEF,right,UNDEF,E,true,Horizontal,UNDEF,UNDEF,UNDEF,true,false,true,y1,Head
399,399,black,Spanish,V,false,finger_fronts,NA,Hand,Z_front,straight,false,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n2,Hand
400,400,blood,Spanish,V,false,back_of_fingers,NA,Arm,Y_down,straight,false,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n2,Arm
401,401,boring,Spanish,E,false,finger_fronts,NA,Head,Y_down,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Head
402,402,brother,Spanish,V,false,finger_fronts,Horizontal,NA,UNDEF,UNDEF,true,true,false,true,UNDEF,right,UNDEF,A,false,UNDEF,forehead,UNDEF,UNDEF,true,false,true,n2,Horizontal
403,403,bug,Spanish,5_nb,false,tip,Horizontal,NA,Z_front,UNDEF,false,true,false,false,UNDEF,right,UNDEF,5_nb,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
404,404,cat,Spanish,B_b,false,finger_fronts,NA,Hand,Z_back,straight,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n4,Hand
405,405,child,Spanish,A,false,tip,NA,Head,UNDEF,UNDEF,true,false,true,true,UNDEF,right,UNDEF,E,false,Horizontal,UNDEF,Y_down,straight,false,false,false,y0,Head
406,406,correct,Spanish,L_enb,false,ulnar_side,Horizontal,NA,X_right,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Horizontal
