,X,swadesh.english,swadesh.language,swadesh.handshape,swadesh.twohands,swadesh.handpart,swadesh.poa,swadesh.bodypart,swadesh.pmv,swadesh.mmv,swadesh.mmvrepeated,swadesh.dmvhandshape,swadesh.dmvorientation,swadesh.compound,swadesh.shape,swadesh.domhand,swadesh.ndhandshape,swadesh.chandshape,swadesh.twohandsC,swadesh.poac,swadesh.bodypartc,swadesh.pmvc,swadesh.mmvc,swadesh.mmvcrepeated,swadesh.dmvchandshape,swadesh.dmvcorientation,HScollapsed,poabodypartmerge
1,1,all,English,5,true,palm,Lateral,NA,Y_down,arc,false,true,true,false,UNDEF,right,5,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Lateral
2,2,animal,English,5_nb,true,tip,Horizontal,NA,Z_front,circular,false,false,true,false,UNDEF,right,5_nb,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
3,3,bad,English,I,false,ulnar_side,Vertical,NA,Z_front,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Vertical
4,4,because,English,L_b,false,radial_side,NA,Hand,Z_back,straight,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Hand
5,5,bird,English,L,false,back_of_palm,NA,Head,UNDEF,UNDEF,true,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Head
6,6,black,English,S_b,false,heel,NA,Head,Y_down,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y0,Head
7,7,blood,English,1,false,tip,NA,Head,Y_down,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Head
8,8,boring,English,E,false,finger_fronts,NA,Head,Z_back,straight,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Head
9,9,brother,English,S_b,true,heel,Lateral,NA,Z_front,straight,true,false,false,false,UNDEF,right,S_b,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y0,Lateral
10,10,bug,English,E_nb,false,tip,Horizontal,NA,Z_front,straight,false,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
11,11,cat,English,5,true,tip,NA,Head,X_right,straight,false,false,false,false,UNDEF,right,5,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Head
12,12,child,English,E,false,palm,Horizontal,NA,Y_down,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
13,13,correct,English,S_b,false,heel,NA,Hand,Y_down,straight,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y0,Hand
14,14,count,English,5,true,tip,Lateral,NA,Y_down,straight,true,true,false,false,UNDEF,right,5,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Lateral
15,15,dance,English,V,true,tip,Vertical,NA,X_left,straight,false,false,true,false,UNDEF,right,V,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n2,Vertical
16,16,day,English,E,true,back_of_palm,Vertical,NA,Y_up,arc,false,false,false,false,UNDEF,right,E,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Vertical
17,17,die,English,H,true,ulnar_side,Horizontal,NA,Y_down,straight,false,false,false,false,UNDEF,right,H,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n2,Horizontal
18,18,dirty,English,5_nb,true,tip,Horizontal,NA,X_left,straight,true,false,false,false,UNDEF,right,5_nb,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
19,19,dog,English,H,true,tip,Horizontal,NA,Y_down,straight,true,false,false,false,UNDEF,right,H,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n2,Horizontal
20,20,dry,English,E_b,true,ulnar_side,NA,Head,Y_down,straight,false,true,false,false,UNDEF,right,E_b,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Head
21,21,dust,English,E_b,true,back_of_palm,Horizontal,NA,UNDEF,UNDEF,true,true,false,true,UNDEF,right,E_b,5,true,Horizontal,UNDEF,Y_up,straight,false,true,false,y4,Horizontal
22,22,earth,English,B,true,radial_side,Lateral,NA,Y_down,arc,false,false,true,false,UNDEF,right,B,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n4,Lateral
23,23,egg,English,1_nb,false,ulnar_side,NA,Hand,Y_down,straight,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Hand
24,24,father,English,H,false,finger_fronts,NA,Hand,Y_down,straight,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n2,Hand
25,25,feather,English,E_b,true,tip,Lateral,NA,X_right,straight,true,false,false,false,UNDEF,right,E_b,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Lateral
26,26,fire,English,E_bnb,true,ulnar_side,Horizontal,NA,Y_up,straight,false,true,true,false,UNDEF,right,E_bnb,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
27,27,fish,English,E,false,tip,NA,Head,UNDEF,UNDEF,true,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Head
28,28,flower,English,L_eb,false,tip,NA,Head,X_right,arc,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Head
29,29,full,English,E,false,back_of_palm,NA,Hand,Y_up,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Hand
30,30,good,English,A,false,finger_fronts,Vertical,NA,Z_front,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y0,Vertical
31,31,grass,English,E_bnb,false,back_of_palm,NA,Arm,X_right,arc,false,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Arm
32,32,grease,English,E_b,true,back_of_palm,Horizontal,NA,UNDEF,UNDEF,true,true,false,false,UNDEF,right,E_b,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
33,33,green,English,S,false,ulnar_side,NA,Hand,Z_back,circular,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n0,Hand
34,34,heavy,English,5,true,back_of_palm,Horizontal,NA,Y_down,straight,true,false,false,false,UNDEF,right,5,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
35,35,how,English,B_nb,true,back_of_fingers,Lateral,NA,X_left,straight,true,false,false,false,UNDEF,right,B_nb,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n4,Lateral
36,36,husband,English,M_eb,false,tip,NA,Hand,X_left,straight,false,false,false,true,UNDEF,right,UNDEF,5,false,UNDEF,back_of_palm,Y_down,straight,false,false,false,y1,Hand
37,37,ice,English,5,true,palm,Horizontal,NA,UNDEF,UNDEF,false,true,false,false,UNDEF,right,5,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
38,38,if,English,1,false,tip,NA,Hand,Y_down,straight,false,false,false,true,UNDEF,right,UNDEF,H,false,UNDEF,back_of_fingers,Y_down,straight,false,false,false,n1,Hand
39,39,kill,English,1,false,tip,NA,Hand,UNDEF,UNDEF,false,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Hand
40,40,laugh,English,L,false,radial_side,NA,Head,Y_down,straight,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Head
41,41,leaf,English,L_b,false,tip,NA,Head,X_right,arc,false,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Head
42,42,lie,English,1,false,radial_side,NA,Head,X_right,straight,false,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Head
43,43,live,English,M_enb,false,tip,NA,Torso,Y_down,straight,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Torso
44,44,long,English,E,true,palm,NA,Head,Y_down,straight,false,true,true,false,UNDEF,right,E,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Head
45,45,look_for,English,V,true,ulnar_side,Vertical,NA,Z_front,circular,false,false,false,false,UNDEF,right,V,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n2,Vertical
46,46,man,English,5,false,radial_side,NA,Head,UNDEF,UNDEF,false,true,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Head
47,47,meat,English,E_nb,false,back_of_fingers,NA,Head,Y_down,arc,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Head
48,48,moon,English,L_b,false,tip,Vertical,NA,Y_down,arc,false,true,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Vertical
49,49,mother,English,W,false,finger_fronts,NA,Hand,UNDEF,UNDEF,true,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n3,Hand
50,50,mountain,English,B_b,true,tip,Lateral,NA,Y_up,straight,false,true,false,false,UNDEF,right,B_b,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n4,Lateral
51,51,name,English,H,false,tip,NA,Head,Z_front,straight,false,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n2,Head
52,52,narrow,English,H,true,finger_fronts,Lateral,NA,Z_front,straight,false,false,false,false,UNDEF,right,H,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n2,Lateral
53,53,new,English,E,false,back_of_palm,NA,Hand,Y_up,arc,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Hand
54,54,night,English,E,false,palm,NA,Head,Y_down,arc,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Head
55,55,not,English,E,true,palm,Horizontal,NA,X_right,straight,false,false,true,false,UNDEF,right,E,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
56,56,old,English,V_nb,false,tip,NA,Head,Y_down,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n2,Head
57,57,other,English,1,false,tip,NA,Hand,Y_up,circular,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Hand
58,58,person,English,L_nb,false,ulnar_side,Horizontal,NA,Y_down,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Horizontal
59,59,pig,English,S,false,radial_side,NA,Head,X_left,circular,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n0,Head
60,60,play,English,E,true,back_of_palm,Horizontal,NA,Y_down,circular,true,false,false,false,UNDEF,right,E,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
61,61,rain,English,5,true,palm,Vertical,NA,UNDEF,UNDEF,true,true,true,false,UNDEF,right,5,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Vertical
62,62,red,English,1_nb,false,back_of_fingers,NA,Head,UNDEF,UNDEF,false,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Head
63,63,river,English,H,true,ulnar_side,Horizontal,NA,Z_front,straight,false,false,false,false,UNDEF,right,H,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n2,Horizontal
64,64,salt,English,I,false,finger_fronts,NA,Hand,Z_front,straight,false,false,false,true,UNDEF,right,UNDEF,E_nb,false,Lateral,UNDEF,X_left,straight,true,false,false,n1,Hand
65,65,sea,English,E,true,palm,Horizontal,NA,X_right,straight,false,false,true,false,UNDEF,right,E,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
66,66,sharp,English,M_eb,false,tip,NA,Hand,X_right,straight,false,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Hand
67,67,short,English,A,true,heel,Lateral,NA,X_left,straight,false,false,false,false,UNDEF,right,A,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y0,Lateral
68,68,singing,English,K,true,tip,NA,Head,Z_front,straight,false,false,false,false,UNDEF,right,K,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n2,Head
69,69,sister,English,1_nb,false,radial_side,NA,Head,Z_back,straight,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Head
70,70,sit,English,E,true,palm,Horizontal,NA,Y_down,straight,false,false,false,false,UNDEF,right,E,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
71,71,smooth,English,E,false,palm,NA,Hand,X_right,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Hand
72,72,snake,English,V_nb,false,radial_side,NA,Head,Z_front,straight,false,true,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n2,Head
73,73,snow,English,5,true,palm,Vertical,NA,Y_down,straight,false,false,false,false,UNDEF,right,5,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Vertical
74,74,stand,English,V,false,tip,NA,Hand,Y_down,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n2,Hand
75,75,star,English,M_enb,false,tip,NA,Head,UNDEF,UNDEF,false,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Head
76,76,stone,English,E_nb,false,heel,NA,Hand,UNDEF,UNDEF,false,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Hand
77,77,string,English,L_enb,false,tip,NA,Hand,X_right,straight,false,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Hand
78,78,sun,English,E_bnb,false,tip,NA,Head,UNDEF,UNDEF,false,true,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Head
79,79,tail,English,L_b,false,radial_side,NA,Hand,Y_up,straight,false,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Hand
80,80,thin,English,I,false,ulnar_side,Vertical,NA,Y_down,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Vertical
81,81,tree,English,5,false,heel,NA,Hand,UNDEF,UNDEF,true,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Hand
82,82,vomit,English,4,true,radial_side,NA,Head,UNDEF,UNDEF,false,false,true,true,UNDEF,right,4,5,false,Horizontal,UNDEF,Z_back,circular,true,false,false,n4,Head
83,83,warm,English,E,false,finger_fronts,NA,Head,Y_down,circular,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Head
84,84,water,English,1,false,finger_fronts,NA,Head,UNDEF,UNDEF,true,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Head
85,85,wet,English,5_b,true,back_of_palm,Horizontal,NA,Y_down,straight,true,true,false,false,UNDEF,right,5_b,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
86,86,what,English,1,false,finger_fronts,Vertical,NA,X_right,straight,true,false,false,false,UNDEF,left,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Vertical
87,87,when,English,5,false,finger_fronts,NA,Head,UNDEF,UNDEF,true,true,false,false,UNDEF,left,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Head
88,88,where,English,5,true,back_of_palm,Horizontal,NA,X_right,straight,true,false,false,false,UNDEF,right,5,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
89,89,white,English,L_eb,false,tip,NA,Hand,UNDEF,UNDEF,false,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Hand
90,90,who,English,1,false,back_of_fingers,Vertical,NA,Z_back,circular,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Vertical
91,91,wide,English,E,true,palm,Lateral,NA,X_right,straight,false,false,false,false,UNDEF,right,E,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Lateral
92,92,wife,English,L_eb,false,tip,NA,Hand,X_left,straight,false,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Hand
93,93,wind,English,E,true,palm,Lateral,NA,X_left,straight,true,false,true,false,UNDEF,right,E,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Lateral
94,94,with,English,E,true,palm,Lateral,NA,X_left,straight,false,false,true,false,UNDEF,right,E,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Lateral
95,95,woman,English,1,false,radial_side,NA,Head,Z_front,circular,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Head
96,96,wood,English,A,false,tip,NA,Hand,Y_down,straight,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y0,Hand
97,97,work,English,E,false,ulnar_side,NA,Hand,Y_down,straight,true,false,false,false,UNDEF,left,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Hand
98,98,worm,English,1,false,finger_fronts,Horizontal,NA,X_left,straight,false,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Horizontal
99,99,year,English,1,false,tip,NA,Hand,Z_front,circular,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Hand
100,100,yellow,English,1,false,tip,NA,Hand,Z_back,straight,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Hand
101,101,all,Swedish,E,false,palm,Horizontal,NA,X_right,straight,false,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
102,102,animal,Swedish,V,true,tip,Horizontal,NA,Z_front,straight,false,true,false,false,UNDEF,right,V,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n2,Horizontal
103,103,bad,Swedish,B,true,radial_side,Lateral,NA,X_left,straight,true,false,false,false,UNDEF,right,B,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n4,Lateral
104,104,because,Swedish,S,false,heel,Vertical,NA,UNDEF,UNDEF,false,true,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n0,Vertical
105,105,bird,Swedish,L,false,back_of_palm,NA,Head,UNDEF,UNDEF,true,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Head
106,106,black,Swedish,E,false,palm,NA,Head,Y_down,straight,false,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Head
107,107,blood,Swedish,5,false,finger_fronts,NA,Arm,Y_down,straight,false,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Arm
108,108,boring,Swedish,A,true,back_of_fingers,NA,Torso,Y_down,straight,false,false,false,false,UNDEF,right,A,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y0,Torso
109,109,brother,Swedish,1_nb,true,tip,Horizontal,NA,X_right,straight,true,false,false,false,UNDEF,right,1_nb,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Horizontal
110,110,cat,Swedish,E,false,palm,NA,Hand,UNDEF,UNDEF,true,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Hand
111,111,child,Swedish,E,false,heel,Horizontal,NA,Y_down,straight,true,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
112,112,correct,Swedish,E,false,ulnar_side,NA,Hand,Y_down,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Hand
113,113,count,Swedish,4_nb,false,tip,NA,Hand,Y_down,straight,false,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n4,Hand
114,114,dance,Swedish,1_nb,true,back_of_fingers,Vertical,NA,Z_front,straight,true,false,false,false,UNDEF,right,1_nb,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Vertical
115,115,day,Swedish,E,true,back_of_palm,Horizontal,NA,Y_down,straight,false,false,false,false,UNDEF,right,E,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
116,116,die,Swedish,E,false,ulnar_side,NA,Torso,Y_down,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Torso
117,117,dirty,Swedish,S,false,radial_side,NA,Head,Y_down,circular,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n0,Head
118,118,dog,Swedish,E,false,palm,Lateral,NA,UNDEF,UNDEF,true,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Lateral
119,119,dry,Swedish,5,true,back_of_palm,Horizontal,NA,Y_down,straight,true,true,false,true,UNDEF,right,5,5,true,Lateral,UNDEF,UNDEF,UNDEF,false,false,true,y4,Horizontal
120,120,dust,Swedish,E,false,palm,NA,Hand,Z_front,straight,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,true,false,false,y4,Hand
121,121,earth,Swedish,B_b,true,radial_side,Lateral,NA,Y_down,straight,false,false,true,false,UNDEF,right,B_b,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n4,Lateral
122,122,egg,Swedish,H,false,finger_fronts,NA,Hand,UNDEF,UNDEF,true,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n2,Hand
123,123,father,Swedish,1,false,radial_side,NA,Head,Y_down,arc,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Head
124,124,feather,Swedish,L_b,false,tip,NA,Hand,X_right,straight,false,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Hand
125,125,fish,Swedish,1,false,ulnar_side,NA,Hand,Y_up,circular,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n1,Hand
126,126,flower,Swedish,E_bnb,false,tip,NA,Head,Y_up,straight,true,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Head
127,127,full,Swedish,E,false,palm,NA,Hand,Z_back,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Hand
128,128,good,Swedish,E_bnb,false,tip,NA,Head,Z_front,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Head
129,129,grass,Swedish,4,false,back_of_fingers,NA,Hand,Y_up,straight,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n4,Hand
130,130,green,Swedish,B_b,false,ulnar_side,NA,Hand,UNDEF,UNDEF,false,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n4,Hand
131,131,heavy,Swedish,S,true,back_of_palm,Horizontal,NA,Y_down,straight,false,false,false,false,UNDEF,right,S,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n0,Horizontal
132,132,how,Swedish,L_enb,false,ulnar_side,Vertical,NA,UNDEF,UNDEF,true,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Vertical
133,133,husband,Swedish,7_enb,false,ulnar_side,NA,Hand,X_left,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Hand
134,134,kill,Swedish,1_nb,false,back_of_fingers,NA,Hand,Y_down,straight,false,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Hand
135,135,laugh,Swedish,4_nb,true,tip,Horizontal,NA,Z_front,straight,true,false,false,false,UNDEF,right,4_nb,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n4,Horizontal
